link,gambar,nama,harga,diskon
https://shopee.co.id/PUPUK-KALSIUM-BORON-MICRO-ELEMENT-CALBOVIT-1-KG-i.223069711.50560149711?extraParams=%7B%22display_model_id%22%3A315893245352%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wj-mnzdvpd7l0cgcc,PUPUK KALSIUM BORON MICRO ELEMENT CALBOVIT - 1 KG,25.000,-,-2%
https://shopee.co.id/PUPUK-CAIR-BOOSTER-KELENGKENG-500ML-i.223069711.50060165514?extraParams=%7B%22display_model_id%22%3A360892916773%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822ws-mnzfwpp7tix49f,PUPUK CAIR BOOSTER KELENGKENG 500ML,54.500,-,-1%
https://shopee.co.id/Syringe-Spuit-Suntikan-Takaran-20ml-Selang-i.223069711.50060162084?extraParams=%7B%22display_model_id%22%3A335893082736%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822ws-mnzgk6ue99tya6,Syringe Spuit Suntikan Takaran 20ml + Selang,3.700,-,-12%
https://shopee.co.id/Media-Tanam-PASIR-MALANG-VULKANIK-size-Random-Mixed-5kg-i.223069711.50010194993?extraParams=%7B%22display_model_id%22%3A380896601315%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wk-mo0o2lyp105hce,Media Tanam - PASIR MALANG VULKANIK size Random Mixed 5kg,13.800,-,-3%
https://shopee.co.id/AB-Mix-Sayuran-Buah-100-liter-i.223069711.49610227814?extraParams=%7B%22display_model_id%22%3A425897290253%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wg-mo0v0jvs1xjab0,AB Mix Sayuran Buah 100 liter,21.400,-,-2%
https://shopee.co.id/Racun-Tikus-PETROKUM-Umpan-Pembasmi-Hama-Curut-Rodentisida-1-KOTAK-(10-pcs)-i.223069711.49510108535?extraParams=%7B%22display_model_id%22%3A440887678136%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wj-mnxy5fzo0f0i3a,Racun Tikus PETROKUM Umpan Pembasmi Hama Curut Rodentisida - 1 KOTAK (10 pcs),64.500,-,-1%
https://shopee.co.id/Pupuk-YaraTera-Krista-K-Plus-Pupuk-Kalium-Nitrat-1kg-i.223069711.49360181908?extraParams=%7B%22display_model_id%22%3A360893041188%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wt-mnzgk6uk15vkd6,Pupuk YaraTera Krista K Plus Pupuk Kalium Nitrat - 1kg,59.500,-,-1%
https://shopee.co.id/Pupuk-MEROKE-NPK-Mutiara-16-16-16-1kg-i.223069711.48809936968?extraParams=%7B%22display_model_id%22%3A159353935355%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mnxy5fzo8uf6e3,Pupuk MEROKE NPK Mutiara 16-16-16 1kg,28.750,-,-2%
https://shopee.co.id/Bak-Es-Cream-Wick-untuk-hydroponik-i.223069711.48260185237?extraParams=%7B%22display_model_id%22%3A370892807540%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wr-mnzf8xxayfba58,Bak Es Cream / Wick - untuk hydroponik,16.800,-,-3%
https://shopee.co.id/Nutrisi-AB-Mix-NETAFARM-utk-SAYURAN-DAUN-1000lt-i.223069711.47810231507?extraParams=%7B%22display_model_id%22%3A430897117546%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wr-mo0u3crmk83sda,Nutrisi AB Mix NETAFARM utk SAYURAN DAUN - 1000lt,164.000,-,-1%
https://shopee.co.id/Media-Tanam-Cocopeat-Block-%C2%B1700Gr-Premium-Coconut-Coir-Pith-1-Pcs-i.223069711.47510100967?extraParams=%7B%22display_model_id%22%3A277597255107%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mnxqbdbcxjb9da,Media Tanam Cocopeat Block ±700Gr Premium Coconut Coir Pith - 1 Pcs,16.000,-,-3%
https://shopee.co.id/Media-Tanam-Sekam-Mentah-Organik-1kg-i.223069711.47460226742?extraParams=%7B%22display_model_id%22%3A335896717881%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wq-mo0rb5lnnwn433,Media Tanam Sekam Mentah Organik 1kg,6.250,-,-7%
